Stage of Escalation,Priority,APT,Calls from Customer,TSLR,Number of Info to SAP from last TSLR,Frequent changes in processor,Number of Processors,Customer call back request,Business Impact mentioned?,Core Business affected?,Go live Affected?,Num of users affected,Work around available?
2.two_days_b4_BI,High,0,0,0,0,0,0,No,Yes,Yes,Yes,20,No
3.BI_is_communicated,High,0,0,0,0,0,0,No,Yes,Yes,Yes,20,No
4.Seven_days_b4_escalation,High,0,0,0,0,0,0,No,Yes,Yes,Yes,20,No
5.two_days_b4_escalation,High,2.7,0,0,0,1,1,No,Yes,Yes,Yes,20,No
6.message_escalated,High,4.75,1,2,1,1,1,No,Yes,Yes,Yes,20,No
1.message_created,High,0.91,0,0,0,0,0,No,Yes,Yes,Yes,,No
2.two_days_b4_BI,High,0.91,0,0,0,0,0,No,Yes,Yes,Yes,,No
3.BI_is_communicated,High,0.91,0,0,0,0,0,No,Yes,Yes,Yes,,No
4.Seven_days_b4_escalation,High,0.91,0,0,0,0,0,No,Yes,Yes,Yes,,No
5.two_days_b4_escalation,High,0.91,0,0,0,0,0,No,Yes,Yes,Yes,,No
6.message_escalated,High,1,2,0.96,3,3,3,No,Yes,Yes,Yes,,No
1.message_created,Medium,0,0,0,0,0,0,No,Yes,Yes,Yes,3,No
2.two_days_b4_BI,High,0.96,0,1,2,3,3,No,Yes,Yes,Yes,3,No
3.BI_is_communicated,High,2.41,0,0.5,2,4,4,No,Yes,Yes,Yes,3,No
4.Seven_days_b4_escalation,High,2.41,0,0.5,2,4,4,No,Yes,Yes,Yes,3,No
5.two_days_b4_escalation,High,6.96,0,4,2,7,4,No,Yes,Yes,Yes,3,No
6.message_escalated,High,8.45,0,1,2,8,5,No,Yes,Yes,Yes,3,No
1.message_created,Medium,0,0,2,0,0,1,No,Yes,Yes,Yes,500,No
2.two_days_b4_BI,High,48.54,1,4,2,3,3,No,Yes,Yes,Yes,500,No
3.BI_is_communicated,High,50.54,1,0,2,3,3,No,Yes,Yes,Yes,500,No
4.Seven_days_b4_escalation,High,43.45,1,1,2,3,3,No,Yes,Yes,Yes,500,No
5.two_days_b4_escalation,High,46.45,1,4,2,3,3,No,Yes,Yes,Yes,500,No
6.message_escalated,High,48.45,1,0,2,3,3,No,Yes,Yes,Yes,500,No
1.message_created,High,0,0,1,0,0,0,No,Yes,No,Yes,,No
2.two_days_b4_BI,High,0,0,1,2,0,0,No,Yes,No,Yes,,No
3.BI_is_communicated,High,0,0,1,2,0,0,No,Yes,No,Yes,,No
4.Seven_days_b4_escalation,High,10.41,0,0,2,1,1,No,Yes,No,Yes,,No
5.two_days_b4_escalation,High,17.41,0,5,2,1,1,No,Yes,No,Yes,,No
6.message_escalated,High,19.41,0,7,2,1,1,No,Yes,No,Yes,,No
1.message_created,High,0.041,0,0,0,1,1,No,Yes,Yes,No,,No
2.two_days_b4_BI,High,0.041,0,0,0,1,1,No,Yes,Yes,No,,No
3.BI_is_communicated,High,0.041,0,0,0,1,1,No,Yes,Yes,No,,No
4.Seven_days_b4_escalation,High,14.62,1,8,3,1,1,No,Yes,Yes,No,,No
5.two_days_b4_escalation,High,19.62,2,13,5,1,1,No,Yes,Yes,No,,No
6.message_escalated,High,21.62,3,15,5,1,1,No,Yes,Yes,No,,No
1.message_created,High,0,0,0,0,1,1,No,Yes,No,Yes,50,No
2.two_days_b4_BI,High,0,0,0,0,1,1,No,Yes,No,Yes,50,No
3.BI_is_communicated,High,0,0,0,0,1,1,No,Yes,No,Yes,50,No
4.Seven_days_b4_escalation,High,0,0,0,0,1,1,No,Yes,No,Yes,50,No
